image,xmin,ymin,xmax,ymax,label
87.jpg,87,55,791,248,issuer
53.jpg,1711,18,2186,188,issuer
2.jpg,1186,18,1580,179,issuer
49.jpg,479,51,1190,197,issuer
64.jpg,233,164,529,254,issuer
28.jpg,19,66,474,218,issuer
86.jpg,77,67,768,250,issuer
37.jpg,25,243,705,429,issuer
83.jpg,950,99,1325,229,issuer
81.jpg,959,101,1334,231,issuer
60.jpg,111,350,490,471,issuer
91.jpg,96,64,803,225,issuer
84.jpg,963,108,1320,229,issuer
54.jpg,1705,-2,2193,180,issuer
20.jpg,543,61,1374,137,issuer
8.jpg,167,200,738,579,issuer
32.jpg,120,192,587,359,issuer
3.jpg,1165,27,1565,164,issuer
36.jpg,261,67,784,314,issuer
25.jpg,10,105,557,445,issuer
5.jpg,158,197,696,523,issuer
10.jpg,179,209,735,556,issuer
12.jpg,81,120,864,254,issuer
51.jpg,1193,18,1669,219,issuer
71.jpg,149,105,585,248,issuer
7.jpg,149,200,729,564,issuer
62.jpg,30,155,681,391,issuer
39.jpg,25,237,700,426,issuer
35.jpg,325,41,878,302,issuer
42.jpg,19,25,512,180,issuer
4.jpg,158,194,666,532,issuer
63.jpg,54,51,675,269,issuer
0.jpg,223,29,1476,226,issuer
78.jpg,353,25,732,165,issuer
41.jpg,101,120,585,332,issuer
29.jpg,0,67,485,213,issuer
45.jpg,1145,35,1615,248,issuer
79.jpg,340,16,731,178,issuer
85.jpg,83,6,760,236,issuer
55.jpg,441,22,1209,200,issuer
70.jpg,923,57,1527,227,issuer
14.jpg,19,80,541,290,issuer
58.jpg,1177,334,1540,487,issuer
90.jpg,106,61,774,238,issuer
44.jpg,1219,18,1670,215,issuer
77.jpg,1180,197,1606,391,issuer
43.jpg,448,18,1288,230,issuer
73.jpg,296,13,735,159,issuer
6.jpg,158,206,621,505,issuer
61.jpg,42,164,649,376,issuer
31.jpg,132,164,545,353,issuer
13.jpg,75,105,840,257,issuer
69.jpg,932,57,1509,242,issuer
9.jpg,167,200,753,550,issuer
30.jpg,35,66,496,202,issuer
74.jpg,67,29,487,185,issuer
56.jpg,130,51,823,204,issuer
34.jpg,120,199,594,382,issuer
11.jpg,161,209,693,538,issuer
27.jpg,25,63,512,212,issuer
